season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Gonzaga,2250,"Fri, Nov 14",Arizona St,W 77-65,77,65,True
2026,Gonzaga,2250,"Mon, Nov 17",Southern Utah,W 122-50,122,50,True
2026,Gonzaga,2250,"Mon, Nov 24",Alabama,W 95-85,95,85,True
2026,Gonzaga,2250,"Tue, Nov 25",Maryland,W 100-61,100,61,True
2026,Gonzaga,2250,"Wed, Nov 26",Michigan,L 101-61,101,61,False
2026,Gonzaga,2250,"Fri, Dec 5",Kentucky,W 94-59,94,59,True
2026,Gonzaga,2250,"Sun, Dec 7",North Florida,W 109-58,109,58,True
2026,Gonzaga,2250,"Sat, Dec 13",UCLA,W 82-72,82,72,True
2026,Gonzaga,2250,"Wed, Dec 17",Campbell,W 98-70,98,70,True
2026,Gonzaga,2250,"Sun, Dec 21",Oregon,W 91-82,91,82,True
2026,Gonzaga,2250,"Sun, Dec 28",Pepperdine,W 96-56,96,56,True
2026,Gonzaga,2250,"Tue, Dec 30",San Diego,W 99-93,99,93,True
2026,Gonzaga,2250,"Sun, Jan 4",Loy Marymount,W 82-47,82,47,True
2026,Gonzaga,2250,"Thu, Jan 8",Santa Clara,W 89-77,89,77,True
2026,Gonzaga,2250,"Thu, Jan 15",Washington St,W 86-65,86,65,True
2026,Gonzaga,2250,"Sat, Jan 17",Seattle,W 71-50,71,50,True
2026,Gonzaga,2250,"Wed, Jan 21",Pepperdine,W 84-60,84,60,True
2026,Gonzaga,2250,"Sat, Jan 24",San Francisco,W 68-66,68,66,True
2026,Gonzaga,2250,"Sat, Jan 31",St Mary's CA,W 73-65,73,65,True
2026,Gonzaga,2250,"Wed, Feb 4",Portland,L 87-80,87,80,False
2026,Gonzaga,2250,"Sat, Feb 7",Oregon St,W 81-61,81,61,True
2026,Gonzaga,2250,"Tue, Feb 10",Washington St,W 83-53,83,53,True
2026,Gonzaga,2250,"Sat, Feb 14",Santa Clara,W 94-86,94,86,True
2026,Gonzaga,2250,"Wed, Feb 18",San Francisco,W 80-59,80,59,True
2026,Gonzaga,2250,"Sat, Feb 21",Pacific,W 71-62,71,62,True
2026,Gonzaga,2250,"Wed, Feb 25",Portland,W 89-48,89,48,True
2026,Gonzaga,2250,"Sat, Feb 28",St Mary's CA,L 70-59,70,59,False
2026,Gonzaga,2250,"Mon, Mar 9",Oregon St,W 65-56,65,56,True
2026,Gonzaga,2250,"Tue, Mar 10",Santa Clara,W 79-68,79,68,True
2026,Kansas,2305,"Mon, Nov 3",WI Green Bay,W 94-51,94,51,True
2026,Kansas,2305,"Fri, Nov 7",North Carolina,L 87-74,87,74,False
2026,Kansas,2305,"Tue, Nov 11",TAM C. Christi,W 77-46,77,46,True
2026,Kansas,2305,"Sat, Nov 15",Princeton,W 76-57,76,57,True
2026,Kansas,2305,"Tue, Nov 18",Duke,L 78-66,78,66,False
2026,Kansas,2305,"Mon, Nov 24",Notre Dame,W 71-61,71,61,True
2026,Kansas,2305,"Tue, Nov 25",Syracuse,W 71-60,71,60,True
2026,Kansas,2305,"Wed, Nov 26",Tennessee,W 81-76,81,76,True
2026,Kansas,2305,"Tue, Dec 2",Connecticut,L 61-56,61,56,False
2026,Kansas,2305,"Sun, Dec 7",Missouri,W 80-60,80,60,True
2026,Kansas,2305,"Tue, Dec 16",Towson,W 73-49,73,49,True
2026,Kansas,2305,"Mon, Dec 22",Davidson,W 90-61,90,61,True
